round,epoch,cycle_A,idt_A
2,35,0.5837272727272728,0.264
2,36,0.5119545454545454,0.28418181818181815
2,37,0.5245,0.23427272727272727
2,38,0.5029090909090909,0.22868181818181818
2,39,0.44245833333333334,0.20199999999999999
2,40,0.4393636363636364,0.18031818181818182
2,41,0.4868636363636364,0.18490909090909088
2,42,0.5064090909090909,0.17704545454545453
2,43,0.4264545454545454,0.19404545454545455
2,44,0.4673333333333333,0.20795833333333333
2,45,0.5765909090909092,0.27545454545454545
2,46,0.45518181818181813,0.24400000000000002
2,47,0.44686363636363635,0.20627272727272727
2,48,0.48227272727272724,0.20445454545454547
2,49,0.4512083333333334,0.19125
2,50,0.5395,0.2136818181818182
2,51,0.40099999999999997,0.18454545454545454
2,52,0.49927272727272726,0.2570909090909091
2,53,0.4559090909090909,0.21104545454545454
2,54,0.4207083333333333,0.183625
2,55,0.4098636363636363,0.1869090909090909
2,56,0.5310454545454545,0.24263636363636365
2,57,0.4149090909090909,0.24449999999999997
2,58,0.42118181818181816,0.1739090909090909
2,59,0.42854166666666665,0.18025
2,60,0.5316363636363636,0.2424090909090909
2,61,0.47018181818181815,0.20531818181818184
2,62,0.4400909090909091,0.21054545454545454
2,63,0.45399999999999996,0.1995
2,64,0.429875,0.18437499999999998
2,65,0.45768181818181825,0.18295454545454548
2,66,0.4344545454545454,0.18790909090909091
2,67,0.4248181818181818,0.2178181818181818
2,68,0.40990909090909095,0.2325909090909091
2,69,0.44237499999999996,0.23358333333333334
2,70,0.45740909090909093,0.19345454545454546
2,71,0.43768181818181817,0.1806818181818182
2,72,0.43313636363636365,0.1815909090909091
2,73,0.46190909090909094,0.20027272727272727
2,74,0.41724999999999995,0.19087500000000002
2,75,0.4893636363636364,0.1842272727272727
2,76,0.4665909090909091,0.16713636363636364
2,77,0.49090909090909096,0.1815909090909091
2,78,0.4356363636363636,0.17963636363636362
2,79,0.4057916666666667,0.1985
2,80,0.5006363636363637,0.1615909090909091
2,81,0.42900000000000005,0.16386363636363635
2,82,0.4419545454545455,0.18168181818181817
2,83,0.4495909090909091,0.17036363636363638
2,84,0.43379166666666663,0.17570833333333333
2,85,0.3973636363636363,0.17377272727272727
2,86,0.41054545454545455,0.16895454545454547
2,87,0.4505909090909091,0.15927272727272726
2,88,0.41645454545454547,0.16968181818181818
2,89,0.4267916666666667,0.14995833333333333
2,90,0.42468181818181816,0.1554090909090909
2,91,0.4426363636363636,0.16040909090909092
2,92,0.41645454545454547,0.151
2,93,0.38763636363636367,0.16595454545454547
2,94,0.4034583333333333,0.15679166666666666
2,95,0.4592727272727272,0.18531818181818183
2,96,0.44186363636363635,0.18599999999999997
2,97,0.4309090909090909,0.2008181818181818
2,98,0.5595909090909091,0.20304545454545453
2,99,0.409875,0.17166666666666666
2,100,0.4342727272727273,0.18313636363636362
2,101,0.48272727272727267,0.18077272727272728
2,102,0.4846363636363637,0.23068181818181818
2,103,0.4407272727272727,0.20718181818181816
2,104,0.472875,0.17995833333333333
2,105,0.39986363636363637,0.15554545454545454
2,106,0.4436818181818181,0.21854545454545454
2,107,0.4355,0.2255
2,108,0.4385,0.16454545454545455
2,109,0.3961666666666666,0.15633333333333335
2,110,0.3935,0.16004545454545455
2,111,0.38059090909090904,0.17131818181818181
2,112,0.4310909090909091,0.20427272727272727
2,113,0.44,0.18981818181818183
2,114,0.37520833333333337,0.1905416666666667
2,115,0.38672727272727275,0.15827272727272726
2,116,0.40236363636363637,0.16718181818181818
2,117,0.4256818181818182,0.1630909090909091
2,118,0.37522727272727274,0.1650909090909091
2,119,0.37233333333333335,0.15341666666666667
2,120,0.38249999999999995,0.14645454545454545
2,121,0.39081818181818184,0.1505
2,122,0.3740454545454545,0.1759090909090909
2,123,0.38631818181818184,0.1441818181818182
2,124,0.36874999999999997,0.1415833333333333
2,125,0.38349999999999995,0.1476818181818182
2,126,0.37354545454545457,0.16413636363636364
2,127,0.3739545454545455,0.14213636363636362
2,128,0.3471818181818182,0.14063636363636364
2,129,0.34108333333333335,0.138875
2,130,0.3977727272727272,0.13549999999999998
2,131,0.3553181818181818,0.12722727272727272
2,132,0.36363636363636365,0.12745454545454546
2,133,0.34509090909090906,0.14604545454545456
2,134,0.33779166666666666,0.13599999999999998
2,135,0.3475909090909091,0.14154545454545453
2,136,0.32881818181818184,0.12886363636363637
2,137,0.33622727272727276,0.14004545454545456
2,138,0.3518181818181818,0.14945454545454545
2,139,0.33670833333333333,0.13491666666666666
2,140,0.3195454545454546,0.12790909090909092
2,141,0.3439090909090909,0.13518181818181818
2,142,0.33031818181818184,0.13077272727272726
2,143,0.3186818181818182,0.13549999999999998
2,144,0.3509166666666667,0.12712500000000002
2,145,0.3297727272727273,0.1296818181818182
2,146,0.33009090909090905,0.1300909090909091
2,147,0.3161818181818182,0.12368181818181818
2,148,0.3138636363636364,0.126
2,149,0.34879166666666667,0.13141666666666665
2,150,0.33636363636363636,0.1318181818181818
