================ Training Loss (Fri Feb 27 02:32:31 2026) ================
[Rank 0] (epoch: 37, iters: 560, time: 0.077, data: 0.001) , D_A: 0.318, G_A: 1.083, cycle_A: 0.564, idt_A: 0.260, D_B: 0.153, G_B: 0.583, cycle_B: 0.707, idt_B: 0.198

[Rank 0] (epoch: 37, iters: 660, time: 0.076, data: 0.001) , D_A: 0.218, G_A: 0.243, cycle_A: 0.605, idt_A: 0.271, D_B: 0.409, G_B: 0.673, cycle_B: 0.791, idt_B: 0.204

[Rank 0] (epoch: 37, iters: 760, time: 0.076, data: 0.001) , D_A: 0.222, G_A: 0.332, cycle_A: 0.561, idt_A: 0.323, D_B: 0.143, G_B: 0.761, cycle_B: 0.971, idt_B: 0.133

[Rank 0] (epoch: 37, iters: 860, time: 0.075, data: 0.002) , D_A: 0.098, G_A: 1.034, cycle_A: 0.326, idt_A: 0.258, D_B: 0.160, G_B: 0.274, cycle_B: 0.724, idt_B: 0.114

[Rank 0] (epoch: 37, iters: 960, time: 0.075, data: 0.001) , D_A: 0.154, G_A: 0.291, cycle_A: 0.362, idt_A: 0.267, D_B: 0.018, G_B: 0.258, cycle_B: 0.819, idt_B: 0.147

[Rank 0] (epoch: 37, iters: 1060, time: 0.076, data: 0.001) , D_A: 0.177, G_A: 0.326, cycle_A: 1.297, idt_A: 0.256, D_B: 0.142, G_B: 0.365, cycle_B: 0.777, idt_B: 0.425

[Rank 0] (epoch: 38, iters: 40, time: 0.076, data: 0.001) , D_A: 0.087, G_A: 0.373, cycle_A: 0.779, idt_A: 0.308, D_B: 0.059, G_B: 0.929, cycle_B: 0.951, idt_B: 0.315

[Rank 0] (epoch: 38, iters: 140, time: 0.076, data: 0.002) , D_A: 0.152, G_A: 0.690, cycle_A: 0.455, idt_A: 0.356, D_B: 0.039, G_B: 0.723, cycle_B: 1.134, idt_B: 0.222

[Rank 0] (epoch: 38, iters: 240, time: 0.076, data: 0.001) , D_A: 0.068, G_A: 0.272, cycle_A: 0.758, idt_A: 0.348, D_B: 0.135, G_B: 0.746, cycle_B: 1.453, idt_B: 0.430

[Rank 0] (epoch: 38, iters: 340, time: 0.078, data: 0.001) , D_A: 0.220, G_A: 0.662, cycle_A: 0.622, idt_A: 0.254, D_B: 0.051, G_B: 0.586, cycle_B: 0.803, idt_B: 0.181

[Rank 0] (epoch: 38, iters: 440, time: 0.078, data: 0.001) , D_A: 0.091, G_A: 0.366, cycle_A: 0.766, idt_A: 0.344, D_B: 0.051, G_B: 0.526, cycle_B: 1.269, idt_B: 0.296

[Rank 0] (epoch: 38, iters: 540, time: 0.077, data: 0.001) , D_A: 0.128, G_A: 0.550, cycle_A: 0.422, idt_A: 0.165, D_B: 0.085, G_B: 0.866, cycle_B: 0.639, idt_B: 0.156

[Rank 0] (epoch: 38, iters: 640, time: 0.078, data: 0.001) , D_A: 0.227, G_A: 0.200, cycle_A: 0.990, idt_A: 0.249, D_B: 0.073, G_B: 0.567, cycle_B: 0.657, idt_B: 0.301

[Rank 0] (epoch: 38, iters: 740, time: 0.075, data: 0.002) , D_A: 0.137, G_A: 0.251, cycle_A: 0.480, idt_A: 0.266, D_B: 0.064, G_B: 0.604, cycle_B: 0.789, idt_B: 0.138

[Rank 0] (epoch: 38, iters: 840, time: 0.075, data: 0.002) , D_A: 0.047, G_A: 0.570, cycle_A: 0.379, idt_A: 0.360, D_B: 0.171, G_B: 0.245, cycle_B: 0.963, idt_B: 0.104

[Rank 0] (epoch: 38, iters: 940, time: 0.076, data: 0.001) , D_A: 0.097, G_A: 0.366, cycle_A: 0.459, idt_A: 0.267, D_B: 0.029, G_B: 0.729, cycle_B: 0.702, idt_B: 0.149

[Rank 0] (epoch: 38, iters: 1040, time: 0.075, data: 0.001) , D_A: 0.148, G_A: 0.642, cycle_A: 0.432, idt_A: 0.284, D_B: 0.136, G_B: 0.821, cycle_B: 0.779, idt_B: 0.141

[Rank 0] (epoch: 39, iters: 20, time: 0.077, data: 0.002) , D_A: 0.096, G_A: 0.278, cycle_A: 0.902, idt_A: 0.228, D_B: 0.226, G_B: 0.614, cycle_B: 0.859, idt_B: 0.243

[Rank 0] (epoch: 39, iters: 120, time: 0.074, data: 0.001) , D_A: 0.191, G_A: 0.267, cycle_A: 0.401, idt_A: 0.326, D_B: 0.037, G_B: 0.968, cycle_B: 0.685, idt_B: 0.155

[Rank 0] (epoch: 39, iters: 220, time: 0.076, data: 0.001) , D_A: 0.085, G_A: 0.662, cycle_A: 0.488, idt_A: 0.173, D_B: 0.188, G_B: 0.208, cycle_B: 0.672, idt_B: 0.204

[Rank 0] (epoch: 39, iters: 320, time: 0.076, data: 0.001) , D_A: 0.091, G_A: 0.433, cycle_A: 0.540, idt_A: 0.409, D_B: 0.216, G_B: 1.346, cycle_B: 1.210, idt_B: 0.183

[Rank 0] (epoch: 39, iters: 420, time: 0.078, data: 0.001) , D_A: 0.081, G_A: 0.524, cycle_A: 0.566, idt_A: 0.201, D_B: 0.221, G_B: 0.619, cycle_B: 0.661, idt_B: 0.125

[Rank 0] (epoch: 39, iters: 520, time: 0.077, data: 0.001) , D_A: 0.087, G_A: 0.961, cycle_A: 0.274, idt_A: 0.341, D_B: 0.199, G_B: 0.527, cycle_B: 0.785, idt_B: 0.094

[Rank 0] (epoch: 39, iters: 620, time: 0.078, data: 0.002) , D_A: 0.241, G_A: 0.517, cycle_A: 0.505, idt_A: 0.253, D_B: 0.046, G_B: 0.323, cycle_B: 0.847, idt_B: 0.186

[Rank 0] (epoch: 39, iters: 720, time: 0.078, data: 0.001) , D_A: 0.069, G_A: 0.401, cycle_A: 0.535, idt_A: 0.342, D_B: 0.268, G_B: 0.154, cycle_B: 0.893, idt_B: 0.144

