epoch,iteration,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B
42,960,0.125,0.478,0.561,0.217,0.284,0.479,0.631,0.148
42,1060,0.283,0.362,0.378,0.171,0.066,0.297,0.567,0.143
43,40,0.086,0.58,0.399,0.212,0.131,0.433,0.608,0.148
43,140,0.072,0.539,0.507,0.239,0.213,0.354,0.699,0.153
43,240,0.182,0.363,0.432,0.234,0.189,0.506,0.928,0.134
43,340,0.167,0.307,0.365,0.246,0.118,0.596,0.772,0.134
43,440,0.141,0.345,0.358,0.271,0.273,0.272,0.725,0.131
43,540,0.171,0.459,0.416,0.222,0.114,0.725,0.696,0.143
43,640,0.077,0.473,0.739,0.282,0.257,0.489,0.824,0.21
43,740,0.087,0.927,0.597,0.206,0.085,0.516,0.621,0.232
43,840,0.252,0.53,0.35,0.241,0.123,0.353,0.621,0.12
43,940,0.308,0.339,0.875,0.194,0.109,0.381,0.682,0.255
43,1040,0.219,0.172,0.551,0.229,0.052,0.776,0.674,0.15
44,20,0.219,0.301,0.43,0.223,0.154,0.4,0.898,0.1
44,120,0.161,1.479,0.378,0.254,0.116,0.303,0.803,0.132
44,220,0.093,0.985,0.388,0.323,0.125,0.361,0.878,0.126
44,320,0.093,0.429,0.597,0.309,0.071,1.056,0.774,0.17
44,420,0.159,0.245,0.756,0.318,0.14,1.094,0.867,0.175
44,520,0.147,0.624,0.486,0.359,0.116,0.54,0.992,0.138
44,620,0.108,0.474,0.608,0.279,0.157,0.359,0.721,0.19
44,720,0.081,0.923,0.591,0.199,0.304,0.132,0.594,0.267
44,820,0.129,0.587,0.35,0.207,0.271,0.613,0.66,0.105
44,920,0.109,0.463,0.696,0.192,0.131,0.391,0.599,0.116
44,1020,0.169,0.328,0.358,0.243,0.252,0.481,0.705,0.096
44,1120,0.114,0.348,0.626,0.215,0.277,0.381,0.63,0.185
45,100,0.113,0.572,0.394,0.194,0.171,0.468,0.572,0.136
45,200,0.094,0.587,0.73,0.262,0.149,0.709,0.747,0.242
45,300,0.145,0.386,0.562,0.31,0.303,1.074,0.765,0.134
45,400,0.057,0.286,0.629,0.284,0.256,0.97,0.691,0.192
45,500,0.268,0.491,0.679,0.607,0.193,0.552,1.309,0.139
45,600,0.05,1.223,1.374,0.635,0.212,0.257,1.279,0.157
45,700,0.061,0.634,0.377,0.554,0.077,0.282,1.305,0.127
45,800,0.03,0.356,0.883,0.314,0.077,0.637,0.766,0.182
45,900,0.104,0.556,0.432,0.363,0.034,0.295,0.967,0.159
45,1000,0.11,0.629,0.798,0.53,0.164,0.546,1.003,0.15
45,1100,0.087,0.604,0.7,0.415,0.066,0.481,0.836,0.159
46,80,0.042,0.608,0.498,0.344,0.133,0.439,0.837,0.131
46,180,0.045,0.831,0.508,0.267,0.066,1.326,0.673,0.147
46,280,0.11,0.484,0.389,0.29,0.03,0.494,0.973,0.122
46,380,0.187,0.473,0.501,0.379,0.183,0.503,1.036,0.124
46,480,0.205,0.178,0.598,0.207,0.341,0.771,0.57,0.118
46,580,0.103,0.297,0.607,0.198,0.217,0.312,0.537,0.168
46,680,0.17,0.324,0.637,0.384,0.334,0.33,0.76,0.128
46,780,0.08,0.593,0.404,0.381,0.225,0.912,0.762,0.126
46,880,0.033,0.793,0.386,0.283,0.194,0.216,0.738,0.108
46,980,0.038,0.65,0.595,0.249,0.101,0.217,0.806,0.168
46,1080,0.159,0.571,0.382,0.159,0.068,0.888,0.717,0.123
47,60,0.163,0.248,0.651,0.215,0.146,0.698,0.744,0.181
47,160,0.074,0.591,0.62,0.316,0.24,0.369,0.872,0.188
47,260,0.112,1.03,0.4,0.215,0.148,0.646,0.7,0.123
47,360,0.18,0.536,0.536,0.162,0.151,0.577,0.546,0.197
47,460,0.047,0.683,0.403,0.289,0.049,0.934,0.981,0.13
47,560,0.07,0.306,0.441,0.129,0.187,0.484,0.435,0.152
47,660,0.176,0.363,0.37,0.159,0.268,0.481,0.568,0.093
47,760,0.096,0.187,0.534,0.225,0.301,0.59,0.694,0.147
47,860,0.108,0.408,0.453,0.341,0.185,0.966,0.938,0.137
47,960,0.154,0.486,0.349,0.204,0.153,0.766,0.636,0.088
47,1060,0.072,0.691,0.747,0.215,0.088,0.55,0.784,0.426
48,40,0.188,0.24,0.743,0.126,0.034,0.773,0.46,0.261
48,140,0.03,0.497,0.542,0.328,0.216,1.03,0.941,0.213
48,240,0.146,0.363,0.584,0.217,0.146,0.409,0.72,0.178
48,340,0.065,0.725,0.467,0.18,0.177,0.771,0.607,0.176
48,440,0.107,0.365,0.609,0.248,0.087,0.956,0.729,0.198
48,540,0.143,0.778,0.387,0.133,0.059,0.297,0.43,0.126
48,640,0.093,0.558,0.766,0.232,0.101,0.453,0.697,0.202
48,740,0.212,0.471,0.252,0.213,0.087,0.173,0.533,0.088
48,840,0.153,0.139,0.332,0.291,0.175,0.799,0.756,0.116
48,940,0.175,0.262,0.544,0.194,0.147,0.744,0.557,0.357
48,1040,0.186,0.424,0.335,0.175,0.299,0.356,0.553,0.096
49,20,0.1,0.392,0.706,0.262,0.07,0.275,0.661,0.223
49,120,0.277,0.169,0.418,0.202,0.156,0.399,0.652,0.133
49,220,0.058,0.514,0.439,0.209,0.073,0.393,0.786,0.115
49,320,0.107,0.377,0.705,0.188,0.173,0.947,0.636,0.207
49,420,0.312,0.336,0.662,0.154,0.107,0.266,0.471,0.219
49,520,0.178,0.279,0.771,0.236,0.173,0.569,0.818,0.216
49,620,0.446,0.922,0.385,0.202,0.279,0.114,0.695,0.119
49,720,0.027,0.859,0.356,0.306,0.187,0.276,0.939,0.124
49,820,0.248,0.766,0.473,0.202,0.186,0.509,0.522,0.123
49,920,0.154,0.328,0.513,0.203,0.226,0.553,0.621,0.139
49,1020,0.223,0.667,0.404,0.314,0.038,0.966,0.859,0.151
49,1120,0.158,0.427,0.583,0.243,0.075,0.788,0.84,0.331
50,100,0.184,0.42,0.651,0.118,0.056,0.546,0.422,0.174
50,200,0.257,0.634,0.399,0.18,0.095,0.272,0.724,0.127
50,300,0.153,0.344,0.518,0.242,0.278,0.082,0.691,0.165
50,400,0.095,0.443,0.363,0.199,0.076,0.701,0.602,0.113
50,500,0.119,0.485,0.562,0.202,0.284,0.448,0.582,0.139
50,600,0.136,0.33,0.49,0.201,0.099,0.838,0.641,0.128
50,700,0.159,0.379,1.154,0.556,0.214,0.968,1.203,0.286
50,800,0.099,0.559,0.583,0.272,0.047,0.225,0.751,0.151
50,900,0.049,0.839,1.076,0.52,0.127,0.612,0.944,0.208
50,1000,0.111,0.397,0.639,0.335,0.047,0.446,0.891,0.232
50,1100,0.068,0.914,0.365,0.235,0.082,0.481,0.852,0.139
51,80,0.12,0.437,0.479,0.244,0.159,0.289,0.585,0.105
51,180,0.179,1.049,0.413,0.339,0.07,0.186,0.83,0.133
51,280,0.232,0.242,0.344,0.199,0.115,0.345,0.523,0.129
51,380,0.194,0.222,0.524,0.239,0.146,0.434,0.665,0.174
51,480,0.189,0.516,0.488,0.163,0.222,0.215,0.466,0.111
51,580,0.162,0.398,0.347,0.189,0.082,0.52,0.727,0.131
51,680,0.129,0.31,0.7,0.195,0.076,0.459,0.648,0.146
51,780,0.23,0.231,0.459,0.166,0.126,0.356,0.532,0.211
51,880,0.109,0.228,0.508,0.232,0.139,0.561,0.811,0.141
51,980,0.253,0.112,0.442,0.209,0.102,0.901,0.741,0.134
51,1080,0.175,0.573,0.329,0.207,0.083,0.263,0.57,0.095
52,60,0.102,0.228,0.426,0.233,0.137,0.686,0.668,0.113
52,160,0.111,0.265,0.327,0.401,0.074,0.309,1.01,0.115
52,260,0.228,0.685,0.639,0.188,0.034,0.516,0.675,0.174
52,360,0.089,0.529,0.756,0.233,0.118,0.388,0.63,0.208
52,460,0.025,0.335,0.482,0.261,0.191,0.206,0.646,0.11
52,560,0.085,0.453,0.887,0.285,0.194,0.991,0.71,0.416
52,660,0.041,0.658,0.48,0.223,0.202,0.082,0.774,0.141
52,760,0.077,0.93,0.512,0.231,0.052,1.047,0.789,0.12
52,860,0.118,1.032,0.428,0.223,0.121,1.085,0.643,0.181
52,960,0.191,0.323,0.541,0.17,0.328,1.184,0.483,0.211
52,1060,0.081,0.502,0.433,0.204,0.284,0.377,0.594,0.105
53,40,0.105,0.523,0.495,0.222,0.104,0.23,0.74,0.105
53,140,0.236,0.569,0.534,0.194,0.061,0.148,0.525,0.15
53,240,0.121,0.681,0.278,0.128,0.154,0.324,0.426,0.092
53,340,0.304,0.14,0.57,0.222,0.098,0.678,0.622,0.123
53,440,0.116,0.502,0.36,0.293,0.061,0.957,0.868,0.116
53,540,0.222,0.273,0.429,0.181,0.052,0.262,0.672,0.174
53,640,0.229,0.698,0.947,0.178,0.172,0.273,0.546,0.191
53,740,0.278,0.145,0.435,0.164,0.063,0.577,0.659,0.118
53,840,0.217,0.857,0.497,0.265,0.184,0.705,1.002,0.114
53,940,0.06,0.721,0.633,0.201,0.069,0.642,0.555,0.158
53,1040,0.086,0.546,0.489,0.195,0.185,0.312,0.586,0.122
54,20,0.258,0.594,0.419,0.215,0.108,0.168,0.652,0.173
54,120,0.054,1.002,0.361,0.19,0.132,0.267,0.563,0.124
54,220,0.122,0.448,0.419,0.233,0.226,0.291,0.659,0.123
54,320,0.066,0.476,0.596,0.202,0.266,0.921,0.604,0.166
54,420,0.066,0.618,0.276,0.223,0.083,0.555,0.704,0.11
54,520,0.053,0.428,0.359,0.238,0.063,0.625,0.716,0.123
54,620,0.303,0.096,0.51,0.222,0.107,0.275,0.525,0.141
54,720,0.074,0.543,0.346,0.166,0.099,0.836,0.519,0.124
54,820,0.157,0.653,0.486,0.142,0.041,0.311,0.613,0.164
54,920,0.08,0.461,0.665,0.2,0.125,0.254,0.643,0.209
54,1020,0.055,0.63,0.594,0.19,0.138,0.178,0.694,0.263
54,1120,0.072,0.526,0.361,0.184,0.123,0.246,0.603,0.114
55,100,0.175,0.423,0.365,0.24,0.292,0.277,0.675,0.151
55,200,0.049,0.248,0.512,0.183,0.194,0.617,0.552,0.08
55,300,0.032,0.947,0.379,0.191,0.099,0.364,0.553,0.177
55,400,0.207,0.612,0.316,0.201,0.217,0.339,0.533,0.138
55,500,0.136,0.368,0.378,0.325,0.264,0.629,0.938,0.09
55,600,0.048,0.633,0.357,0.186,0.116,0.46,0.662,0.115
55,700,0.1,0.41,0.638,0.254,0.153,0.521,0.608,0.168
55,800,0.158,0.31,0.441,0.224,0.149,0.584,0.587,0.188
55,900,0.169,0.656,0.358,0.207,0.062,0.44,0.483,0.116
55,1000,0.159,1.077,0.405,0.188,0.172,0.38,0.596,0.123
55,1100,0.151,0.323,0.66,0.246,0.13,0.259,0.689,0.188
56,80,0.615,1.223,0.374,0.174,0.264,0.833,0.562,0.071
56,180,0.027,0.988,0.421,0.2,0.129,0.643,0.568,0.089
56,280,0.15,0.698,0.611,0.3,0.227,0.396,0.663,0.124
56,380,0.215,1.838,0.361,0.388,0.097,0.45,1.588,0.142
56,480,0.065,0.815,0.534,0.611,0.136,0.261,1.313,0.124
56,580,0.023,0.955,0.649,0.332,0.116,0.521,0.749,0.168
56,680,0.024,0.904,0.559,0.205,0.255,0.489,0.691,0.179
56,780,0.014,0.856,0.35,0.26,0.128,0.947,0.827,0.127
56,880,0.02,0.786,0.53,0.378,0.178,0.315,0.971,0.152
56,980,0.013,0.921,0.589,0.358,0.066,0.751,0.84,0.275
56,1080,0.033,0.895,0.787,0.341,0.12,0.365,0.875,0.157
57,60,0.044,0.645,0.642,0.317,0.063,0.464,0.83,0.186
57,160,0.113,0.539,0.334,0.4,0.074,0.651,1.037,0.115
57,260,0.118,0.505,0.275,0.285,0.116,0.615,0.724,0.116
57,360,0.126,0.515,0.807,0.348,0.148,1.163,1.149,0.19
57,460,0.222,0.256,0.348,0.319,0.035,0.382,0.8,0.132
57,560,0.084,0.434,0.393,0.209,0.097,0.331,0.565,0.128
57,660,0.165,0.271,0.442,0.311,0.112,0.587,0.866,0.101
57,760,0.217,0.394,0.342,0.309,0.059,0.671,0.665,0.118
57,860,0.166,0.426,0.444,0.441,0.094,0.509,0.853,0.126
57,960,0.166,0.551,0.498,0.283,0.213,0.413,0.597,0.154
57,1060,0.062,0.575,0.516,0.317,0.056,0.911,0.936,0.132
58,40,0.127,0.475,0.41,0.173,0.273,0.125,0.716,0.124
58,140,0.123,0.453,0.33,0.208,0.077,0.603,0.665,0.158
58,240,0.093,0.429,0.472,0.196,0.052,0.308,0.512,0.177
58,340,0.08,0.701,0.364,0.229,0.189,0.262,0.698,0.114
58,440,0.15,0.389,0.479,0.197,0.113,0.539,0.507,0.107
58,540,0.075,0.482,0.424,0.213,0.136,0.545,0.71,0.123
58,640,0.269,1.438,0.437,0.207,0.083,0.399,0.662,0.131
58,740,0.136,0.389,0.718,0.221,0.056,0.745,0.761,0.231
58,840,0.119,0.422,0.251,0.228,0.268,0.183,0.595,0.086
58,940,0.231,0.278,0.421,0.157,0.208,0.414,0.538,0.12
58,1040,0.262,0.698,0.558,0.21,0.232,0.534,0.775,0.148
59,20,0.128,0.253,0.377,0.181,0.177,0.822,0.597,0.133
59,120,0.157,0.553,0.359,0.203,0.197,0.214,0.557,0.112
59,220,0.143,0.797,0.396,0.167,0.236,0.347,0.615,0.128
59,320,0.137,0.534,0.348,0.212,0.052,0.523,0.659,0.112
59,420,0.258,0.139,0.479,0.191,0.329,0.149,0.536,0.14
59,520,0.084,1.19,0.338,0.208,0.187,0.282,0.512,0.115
59,620,0.057,0.779,0.538,0.283,0.134,0.355,0.932,0.227
59,720,0.119,0.453,0.341,0.192,0.13,0.544,0.616,0.145
59,820,0.2,0.695,0.639,0.185,0.047,0.416,0.649,0.218
59,920,0.142,0.263,0.78,0.15,0.458,1.263,0.446,0.161
59,1020,0.121,0.436,0.576,0.196,0.153,0.276,0.473,0.182
59,1120,0.141,0.478,0.584,0.31,0.038,0.764,0.662,0.195
60,100,0.061,0.736,0.9,0.55,0.112,0.853,0.887,0.193
60,200,0.225,0.703,0.762,0.488,0.149,0.482,1.068,0.205
60,300,0.159,0.268,0.367,0.251,0.193,0.124,0.658,0.148
