epoch,iteration,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B
69,220,0.085,0.616,0.384,0.21,0.102,0.867,0.576,0.151
69,320,0.194,0.752,0.35,0.339,0.14,0.641,0.903,0.108
69,420,0.103,0.367,0.553,0.264,0.129,0.673,0.778,0.097
69,520,0.09,0.454,0.957,0.34,0.109,0.729,0.944,0.213
69,620,0.043,1.407,0.343,0.267,0.101,0.261,0.734,0.11
69,720,0.032,0.965,0.503,0.455,0.089,0.516,1.072,0.1
69,820,0.042,0.677,0.37,0.283,0.087,0.898,0.833,0.138
69,920,0.101,0.368,0.408,0.286,0.308,0.564,0.863,0.123
69,1020,0.115,1.762,0.947,0.579,0.056,0.899,1.247,0.251
69,1120,0.019,1.188,0.56,0.223,0.035,0.821,0.62,0.128
70,100,0.092,0.774,0.49,0.275,0.115,0.437,0.758,0.147
70,200,0.033,0.59,0.547,0.28,0.038,0.778,0.796,0.205
70,300,0.04,0.742,0.576,0.322,0.094,0.532,0.729,0.11
70,400,0.056,0.542,0.754,0.184,0.039,0.724,0.783,0.152
70,500,0.161,0.571,0.342,0.308,0.209,0.93,0.8,0.147
70,600,0.13,0.471,0.324,0.184,0.264,1.222,0.648,0.087
70,700,0.188,0.581,0.564,0.267,0.192,0.291,0.783,0.171
70,800,0.1,0.4,0.435,0.241,0.065,0.409,0.847,0.122
70,900,0.162,1.06,1.028,0.214,0.122,0.394,0.62,0.193
70,1000,0.118,0.329,0.345,0.191,0.09,0.408,0.651,0.115
70,1100,0.053,0.791,0.453,0.297,0.15,0.288,0.83,0.122
71,80,0.029,0.878,0.603,0.232,0.05,0.461,0.523,0.159
71,180,0.03,0.798,0.65,0.271,0.054,0.466,1.084,0.165
71,280,0.077,0.684,0.559,0.23,0.072,0.447,0.633,0.216
71,380,0.052,0.56,0.398,0.236,0.098,0.519,0.624,0.095
71,480,0.037,0.406,0.691,0.262,0.036,0.331,0.803,0.179
71,580,0.06,0.148,0.348,0.246,0.131,0.388,0.687,0.07
71,680,0.039,0.692,0.489,0.192,0.117,0.331,0.562,0.118
71,780,0.208,0.567,0.374,0.139,0.295,0.125,0.495,0.155
71,880,0.05,0.539,0.341,0.238,0.231,0.683,0.635,0.107
71,980,0.039,0.882,0.464,0.224,0.073,0.478,0.62,0.105
71,1080,0.106,0.564,0.54,0.11,0.286,0.109,0.375,0.161
72,60,0.127,1.259,1.096,0.236,0.189,0.352,0.695,0.214
72,160,0.209,0.401,0.387,0.132,0.159,0.26,0.468,0.135
72,260,0.111,0.404,0.405,0.228,0.13,0.649,0.65,0.132
72,360,0.207,0.32,0.476,0.176,0.047,0.35,0.631,0.151
72,460,0.06,0.61,0.479,0.184,0.09,0.593,0.569,0.152
72,560,0.035,0.319,0.328,0.199,0.042,1.037,0.602,0.088
72,660,0.1,0.456,0.518,0.183,0.177,0.292,0.634,0.166
72,760,0.309,1.098,0.385,0.26,0.051,0.723,0.775,0.114
72,860,0.119,0.336,0.619,0.195,0.314,0.227,0.599,0.179
72,960,0.067,0.431,0.397,0.218,0.046,0.94,0.596,0.138
72,1060,0.091,0.657,0.513,0.27,0.182,0.688,0.829,0.183
73,40,0.204,0.378,0.805,0.29,0.057,0.655,0.678,0.244
73,140,0.161,0.304,0.627,0.237,0.096,0.823,0.647,0.284
73,240,0.105,0.763,0.61,0.358,0.032,0.937,0.863,0.202
73,340,0.072,0.868,0.455,0.249,0.036,0.778,1.062,0.133
73,440,0.102,0.336,0.508,0.357,0.035,1.39,0.984,0.167
73,540,0.033,0.539,0.514,0.228,0.07,0.658,0.661,0.157
73,640,0.051,0.405,0.481,0.156,0.058,0.597,0.516,0.136
73,740,0.101,0.459,0.402,0.251,0.028,0.645,0.77,0.12
73,840,0.261,0.198,0.428,0.251,0.072,0.522,0.812,0.127
73,940,0.182,0.279,0.562,0.203,0.098,0.394,0.666,0.166
73,1040,0.067,0.702,0.384,0.161,0.077,0.583,0.539,0.113
74,20,0.157,0.853,0.638,0.276,0.055,0.141,0.846,0.152
74,120,0.041,0.665,0.343,0.18,0.051,0.387,0.569,0.115
74,220,0.102,0.385,0.57,0.194,0.179,0.382,0.559,0.15
74,320,0.24,0.214,0.658,0.196,0.094,0.439,0.585,0.213
74,420,0.234,0.281,0.358,0.127,0.106,0.679,0.463,0.111
74,520,0.127,0.584,0.484,0.189,0.156,0.33,0.63,0.121
74,620,0.21,0.223,0.68,0.229,0.169,0.262,0.585,0.2
74,720,0.278,0.777,0.344,0.205,0.092,0.476,0.67,0.111
74,820,0.077,0.536,0.468,0.169,0.155,0.522,0.631,0.173
74,920,0.107,0.749,0.452,0.163,0.032,0.618,0.542,0.155
74,1020,0.071,0.538,0.613,0.245,0.08,0.217,0.674,0.127
74,1120,0.065,0.54,0.37,0.453,0.101,0.407,0.891,0.122
75,100,0.028,0.716,0.647,0.233,0.075,0.607,0.578,0.133
75,200,0.104,0.157,0.605,0.224,0.038,0.487,0.663,0.149
75,300,0.078,0.475,0.394,0.212,0.055,0.674,0.801,0.111
75,400,0.072,0.534,0.35,0.181,0.058,0.581,0.661,0.126
75,500,0.166,0.621,0.497,0.159,0.063,0.996,0.643,0.146
75,600,0.049,0.782,0.382,0.209,0.088,0.756,0.614,0.137
75,700,0.215,0.999,1.052,0.263,0.052,0.666,0.796,0.266
75,800,0.102,0.557,0.555,0.293,0.171,0.451,0.934,0.173
75,900,0.035,0.611,0.44,0.199,0.22,0.482,0.567,0.134
75,1000,0.09,0.475,0.611,0.304,0.217,0.342,0.926,0.151
75,1100,0.129,0.395,0.421,0.148,0.27,0.13,0.434,0.132
76,80,0.275,0.312,0.6,0.127,0.13,0.396,0.407,0.124
76,180,0.215,0.196,0.603,0.171,0.208,0.426,0.54,0.167
76,280,0.022,0.93,0.462,0.195,0.143,0.389,0.571,0.113
76,380,0.186,0.392,0.401,0.123,0.046,0.74,0.457,0.124
76,480,0.386,0.389,0.47,0.16,0.089,0.406,0.428,0.149
76,580,0.294,0.776,0.449,0.23,0.106,0.735,0.568,0.144
76,680,0.105,0.403,0.57,0.191,0.082,0.42,0.602,0.173
76,780,0.139,0.601,0.498,0.28,0.117,0.589,0.646,0.208
76,880,0.094,0.493,0.436,0.166,0.057,0.776,0.536,0.138
76,980,0.174,0.323,0.947,0.178,0.116,0.444,0.57,0.322
76,1080,0.196,0.248,0.411,0.223,0.072,0.935,0.677,0.116
77,60,0.05,1.135,0.807,0.368,0.046,0.954,1.107,0.228
77,160,0.026,0.722,0.375,0.204,0.032,0.708,0.648,0.116
77,260,0.046,1.05,0.605,0.251,0.044,0.868,0.744,0.181
77,360,0.236,0.253,0.907,0.154,0.233,0.196,0.506,0.268
77,460,0.212,0.873,0.761,0.214,0.037,0.448,0.69,0.495
77,560,0.078,0.849,0.693,0.145,0.049,0.934,0.455,0.274
77,660,0.089,0.617,0.397,0.2,0.14,0.336,0.678,0.123
77,760,0.186,0.568,0.717,0.136,0.084,0.874,0.533,0.239
77,860,0.096,0.585,0.38,0.138,0.185,0.139,0.436,0.112
77,960,0.162,0.743,0.412,0.335,0.083,0.929,0.546,0.15
77,1060,0.074,0.565,0.72,0.191,0.109,0.538,0.609,0.308
78,40,0.054,1.005,0.408,0.248,0.222,1.3,0.905,0.123
78,140,0.088,0.454,0.347,0.202,0.058,0.683,0.866,0.108
78,240,0.347,0.117,0.965,0.186,0.032,0.435,0.612,0.207
78,340,0.096,0.376,0.343,0.217,0.05,0.642,0.573,0.134
78,440,0.131,0.367,0.436,0.18,0.063,0.555,0.568,0.154
78,540,0.278,0.478,0.77,0.187,0.085,0.466,0.64,0.336
78,640,0.092,0.936,0.466,0.11,0.034,0.73,0.412,0.092
78,740,0.036,0.452,0.549,0.215,0.055,0.591,0.637,0.183
78,840,0.18,0.372,0.489,0.134,0.064,0.397,0.468,0.136
78,940,0.256,0.463,0.374,0.13,0.045,0.869,0.502,0.102
78,1040,0.059,0.619,0.446,0.55,0.098,0.58,0.933,0.1
79,20,0.047,0.621,0.397,0.191,0.155,0.288,0.593,0.133
79,120,0.096,0.319,0.383,0.234,0.047,0.666,0.741,0.157
79,220,0.171,0.314,0.439,0.245,0.262,0.92,0.525,0.109
79,320,0.239,0.474,0.369,0.149,0.191,0.254,0.567,0.118
79,420,0.197,0.486,0.536,0.161,0.086,1.195,0.646,0.201
79,520,0.136,0.157,0.356,0.352,0.056,0.66,0.778,0.109
79,620,0.186,0.233,0.353,0.201,0.044,0.629,0.814,0.113
79,720,0.111,0.362,0.497,0.249,0.063,0.602,0.963,0.134
79,820,0.112,0.355,0.375,0.243,0.196,0.428,0.765,0.106
79,920,0.247,0.739,0.379,0.106,0.053,0.635,0.488,0.115
79,1020,0.185,0.22,0.367,0.388,0.057,0.508,0.994,0.15
79,1120,0.16,0.616,0.525,0.206,0.09,0.787,0.479,0.109
80,100,0.191,0.302,0.443,0.181,0.058,0.535,0.614,0.116
80,200,0.102,0.528,0.604,0.153,0.036,0.393,0.4,0.15
80,300,0.28,0.487,1.216,0.128,0.129,0.434,0.467,0.505
80,400,0.159,0.318,0.599,0.202,0.115,0.855,0.699,0.164
80,500,0.105,0.609,0.574,0.13,0.043,0.999,0.38,0.156
80,600,0.073,0.786,0.459,0.176,0.357,1.286,0.621,0.104
80,700,0.019,0.921,0.362,0.185,0.096,0.28,0.533,0.097
80,800,0.232,0.18,0.39,0.184,0.077,0.665,0.604,0.108
80,900,0.098,0.441,0.441,0.257,0.062,0.543,0.674,0.111
80,1000,0.198,0.808,0.331,0.136,0.164,0.873,0.423,0.113
80,1100,0.098,0.531,0.568,0.309,0.164,0.307,0.663,0.143
81,80,0.125,0.46,0.548,0.115,0.032,0.76,0.43,0.187
81,180,0.135,0.351,0.285,0.154,0.038,0.741,0.584,0.093
81,280,0.061,0.7,0.456,0.238,0.201,0.376,0.609,0.116
81,380,0.181,0.371,0.469,0.245,0.324,1.19,0.57,0.134
81,480,0.083,0.42,0.644,0.194,0.044,0.753,0.599,0.192
81,580,0.09,0.39,0.488,0.194,0.047,0.808,0.633,0.146
81,680,0.09,0.673,0.636,0.178,0.086,0.327,0.568,0.153
81,780,0.055,0.4,0.489,0.214,0.023,0.826,0.646,0.186
81,880,0.049,0.645,0.615,0.159,0.089,0.601,0.506,0.168
81,980,0.096,0.286,0.346,0.16,0.099,0.988,0.399,0.105
81,1080,0.325,0.454,0.436,0.126,0.238,0.604,0.566,0.123
82,60,0.273,0.362,0.538,0.323,0.074,0.461,1.05,0.143
82,160,0.156,0.286,0.439,0.108,0.153,0.295,0.412,0.169
82,260,0.231,0.515,0.609,0.145,0.064,0.649,0.377,0.155
82,360,0.078,0.283,0.327,0.165,0.117,0.816,0.576,0.105
82,460,0.107,0.262,0.373,0.328,0.027,1.321,0.799,0.128
82,560,0.126,0.336,0.619,0.241,0.024,0.893,0.575,0.188
82,660,0.052,0.517,0.425,0.183,0.071,0.974,0.598,0.114
82,760,0.092,0.558,0.535,0.247,0.047,1.336,0.672,0.186
82,860,0.219,1.409,0.772,0.206,0.151,0.099,0.596,0.161
82,960,0.121,0.587,0.34,0.203,0.044,0.53,0.618,0.099
82,1060,0.262,0.532,0.602,0.152,0.061,0.667,0.498,0.131
83,40,0.136,0.468,0.674,0.209,0.033,0.969,0.581,0.237
83,140,0.334,0.662,0.429,0.229,0.139,0.309,0.529,0.153
83,240,0.06,0.811,0.693,0.243,0.115,0.331,0.656,0.148
83,340,0.06,0.595,0.418,0.181,0.068,0.983,0.634,0.117
83,440,0.211,0.298,0.418,0.127,0.176,0.621,0.433,0.153
83,540,0.059,0.627,0.39,0.154,0.189,0.288,0.513,0.108
83,640,0.145,0.487,0.388,0.208,0.119,0.395,0.634,0.098
83,740,0.298,0.91,0.561,0.218,0.105,0.899,0.461,0.177
83,840,0.063,0.799,0.61,0.165,0.264,0.129,0.512,0.143
83,940,0.16,0.5,0.339,0.161,0.158,0.831,0.535,0.104
83,1040,0.05,0.517,0.493,0.189,0.132,0.356,0.633,0.144
84,20,0.034,0.814,0.471,0.156,0.072,0.512,0.507,0.139
84,120,0.152,0.26,0.421,0.179,0.137,1.178,0.505,0.111
84,220,0.283,0.755,0.481,0.143,0.056,0.972,0.638,0.12
84,320,0.12,0.414,0.443,0.519,0.053,0.606,1.199,0.103
84,420,0.089,0.674,0.651,0.201,0.112,0.379,0.646,0.223
84,520,0.035,0.553,0.348,0.18,0.047,0.452,0.57,0.113
84,620,0.069,0.528,0.433,0.161,0.062,0.791,0.555,0.124
84,720,0.065,0.492,0.595,0.137,0.25,0.499,0.388,0.165
84,820,0.118,0.429,0.327,0.202,0.135,0.506,0.582,0.082
84,920,0.197,0.507,0.453,0.136,0.072,0.185,0.476,0.098
84,1020,0.059,0.728,0.522,0.21,0.04,0.642,0.573,0.153
84,1120,0.255,0.578,0.347,0.192,0.087,0.589,0.634,0.144
85,100,0.203,0.175,0.359,0.114,0.085,0.543,0.372,0.11
85,200,0.099,1.002,0.356,0.168,0.067,0.584,0.54,0.103
85,300,0.124,0.257,0.708,0.154,0.044,0.537,0.501,0.169
85,400,0.198,0.24,0.435,0.282,0.057,1.306,0.829,0.13
85,500,0.09,0.694,0.56,0.259,0.092,0.464,0.844,0.174
85,600,0.08,0.524,0.33,0.19,0.057,0.513,0.577,0.078
85,700,0.23,0.642,0.323,0.171,0.053,0.699,0.635,0.099
85,800,0.146,0.677,0.477,0.276,0.045,0.802,0.82,0.075
85,900,0.147,0.487,0.699,0.225,0.11,0.535,0.81,0.196
85,1000,0.051,0.603,0.439,0.249,0.055,0.449,0.67,0.121
85,1100,0.18,0.27,0.353,0.205,0.16,0.265,0.649,0.112
86,80,0.155,0.463,0.345,0.174,0.041,0.973,0.518,0.106
86,180,0.196,0.78,0.285,0.165,0.11,0.737,0.59,0.1
86,280,0.186,0.637,0.553,0.135,0.194,0.082,0.486,0.235
86,380,0.07,0.591,0.708,0.236,0.018,0.944,0.602,0.175
86,480,0.163,0.268,0.363,0.188,0.161,0.91,0.611,0.115
86,580,0.072,0.645,0.524,0.294,0.154,0.685,0.814,0.169
86,680,0.073,0.819,0.307,0.174,0.03,0.488,0.58,0.093
86,780,0.075,0.578,0.641,0.163,0.074,0.923,0.556,0.183
86,880,0.262,0.217,0.687,0.201,0.043,0.848,0.614,0.183
86,980,0.03,0.534,0.309,0.185,0.273,0.843,0.515,0.127
86,1080,0.218,0.551,0.534,0.18,0.365,0.078,0.497,0.135
87,60,0.277,0.55,0.582,0.187,0.18,0.177,0.51,0.134
87,160,0.178,0.882,0.685,0.178,0.184,0.327,0.557,0.189
87,260,0.183,0.278,0.354,0.184,0.138,0.373,0.483,0.11
87,360,0.176,0.331,0.475,0.141,0.084,0.576,0.487,0.152
87,460,0.131,0.306,0.338,0.173,0.115,0.091,0.529,0.114
87,560,0.022,0.512,0.553,0.165,0.04,0.423,0.509,0.145
87,660,0.096,0.77,0.534,0.256,0.08,0.697,0.974,0.156
87,760,0.094,0.449,0.402,0.187,0.015,0.937,0.642,0.133
87,860,0.165,0.458,0.623,0.161,0.017,1.036,0.715,0.221
87,960,0.213,0.495,0.494,0.15,0.084,0.652,0.589,0.196
87,1060,0.089,0.569,0.379,0.183,0.097,0.405,0.646,0.116
88,40,0.023,0.974,0.637,0.164,0.03,0.666,0.566,0.478
88,140,0.094,0.387,0.464,0.166,0.02,0.668,0.647,0.218
88,240,0.081,0.519,0.389,0.161,0.25,0.153,0.607,0.093
88,340,0.159,0.514,0.348,0.213,0.078,0.801,0.725,0.102
88,440,0.289,0.835,0.416,0.167,0.149,0.424,0.613,0.087
88,540,0.168,0.739,0.36,0.211,0.146,0.538,0.733,0.106
88,640,0.197,0.672,0.448,0.236,0.354,0.065,0.526,0.21
88,740,0.131,0.316,0.45,0.246,0.025,0.545,0.838,0.133
88,840,0.166,0.491,0.462,0.181,0.193,1.232,0.579,0.158
88,940,0.054,0.326,0.353,0.193,0.034,0.743,0.687,0.109
88,1040,0.075,0.681,0.365,0.212,0.034,0.72,0.634,0.117
89,20,0.183,0.196,0.689,0.137,0.229,0.179,0.434,0.238
89,120,0.16,0.476,0.429,0.187,0.106,0.358,0.653,0.129
89,220,0.241,0.965,0.621,0.205,0.038,1.313,0.777,0.169
89,320,0.045,0.244,0.466,0.222,0.086,0.342,0.71,0.146
89,420,0.033,0.963,0.377,0.127,0.057,0.905,0.461,0.115
89,520,0.081,0.549,0.657,0.16,0.03,0.842,0.672,0.15
89,620,0.117,0.364,0.513,0.16,0.027,0.466,0.523,0.155
89,720,0.029,0.352,0.399,0.167,0.105,0.563,0.529,0.126
89,820,0.111,0.889,0.586,0.168,0.075,0.541,0.515,0.168
89,920,0.181,0.34,0.519,0.14,0.083,0.702,0.479,0.167
89,1020,0.109,0.184,0.349,0.136,0.192,0.525,0.467,0.103
89,1120,0.128,0.591,0.38,0.145,0.149,0.29,0.505,0.106
90,100,0.045,0.582,0.388,0.215,0.048,1.006,0.683,0.112
90,200,0.109,0.634,0.322,0.219,0.175,1.162,0.837,0.14
90,300,0.047,0.164,0.343,0.159,0.032,0.777,0.518,0.104
90,400,0.029,0.879,0.513,0.163,0.13,0.314,0.563,0.202
90,500,0.257,0.192,0.411,0.155,0.123,0.313,0.435,0.123
90,600,0.072,0.507,0.537,0.175,0.314,0.236,0.591,0.143
90,700,0.239,0.178,0.587,0.136,0.27,0.142,0.427,0.153
90,800,0.197,0.698,0.331,0.199,0.175,0.156,0.536,0.107
90,900,0.19,0.653,0.572,0.153,0.298,0.212,0.57,0.146
90,1000,0.232,0.305,0.446,0.16,0.269,0.206,0.413,0.177
90,1100,0.118,0.382,0.31,0.264,0.322,0.113,0.607,0.079
91,80,0.055,0.736,0.379,0.149,0.225,0.282,0.454,0.112
91,180,0.12,0.417,0.465,0.168,0.172,0.292,0.432,0.12
91,280,0.131,0.473,0.343,0.153,0.076,0.32,0.483,0.115
91,380,0.023,0.881,0.427,0.179,0.201,0.359,0.505,0.158
91,480,0.105,0.618,0.681,0.237,0.106,0.514,0.607,0.352
91,580,0.13,0.421,0.569,0.145,0.094,0.553,0.509,0.164
91,680,0.209,0.727,0.564,0.195,0.167,0.253,0.545,0.413
91,780,0.114,0.628,0.863,0.197,0.093,0.862,0.558,0.356
91,880,0.072,0.319,0.406,0.142,0.121,0.337,0.397,0.122
91,980,0.078,0.663,0.34,0.151,0.181,1.096,0.494,0.101
91,1080,0.135,0.314,0.34,0.244,0.08,0.286,0.65,0.104
92,60,0.055,0.443,0.509,0.154,0.244,0.255,0.47,0.144
92,160,0.263,0.867,0.503,0.156,0.189,0.253,0.487,0.157
92,260,0.046,0.616,0.326,0.156,0.08,0.644,0.542,0.096
92,360,0.046,0.644,0.342,0.168,0.021,0.722,0.616,0.119
92,460,0.053,0.405,0.526,0.121,0.157,0.419,0.521,0.156
92,560,0.167,0.536,0.529,0.186,0.023,0.864,0.733,0.128
92,660,0.146,0.285,0.363,0.164,0.04,0.928,0.551,0.127
92,760,0.135,0.716,0.426,0.125,0.029,0.804,0.407,0.13
92,860,0.058,0.464,0.503,0.168,0.029,0.797,0.577,0.128
92,960,0.101,0.215,0.343,0.188,0.064,0.784,0.583,0.109
92,1060,0.073,0.391,0.355,0.134,0.057,0.66,0.516,0.109
93,40,0.162,0.215,0.473,0.118,0.116,0.737,0.465,0.145
93,140,0.115,0.36,0.682,0.192,0.139,0.466,0.824,0.214
93,240,0.037,1.129,0.458,0.16,0.044,0.42,0.549,0.152
93,340,0.183,0.282,0.279,0.221,0.053,0.577,0.572,0.093
93,440,0.077,0.456,0.298,0.19,0.114,0.528,0.553,0.091
93,540,0.068,0.39,0.719,0.113,0.22,1.057,0.435,0.182
93,640,0.261,0.481,0.529,0.226,0.108,0.428,0.688,0.168
93,740,0.08,0.563,0.259,0.2,0.029,0.625,0.606,0.095
93,840,0.082,0.552,0.375,0.175,0.092,0.685,0.572,0.12
93,940,0.05,0.679,0.338,0.222,0.311,0.118,0.614,0.113
93,1040,0.109,0.52,0.359,0.246,0.027,0.947,0.773,0.105
94,20,0.12,0.784,0.542,0.179,0.158,0.861,0.548,0.131
94,120,0.146,0.377,0.381,0.161,0.044,0.744,0.554,0.113
94,220,0.101,0.466,0.432,0.168,0.015,0.743,0.522,0.154
94,320,0.059,0.464,0.458,0.15,0.045,0.878,0.545,0.13
94,420,0.073,0.278,0.398,0.107,0.026,0.571,0.429,0.137
94,520,0.214,0.299,0.315,0.201,0.038,1.524,0.834,0.086
94,620,0.141,0.881,0.443,0.262,0.031,1.053,0.697,0.114
94,720,0.092,0.361,0.405,0.196,0.029,1.007,0.564,0.117
94,820,0.318,0.519,0.345,0.129,0.024,0.866,0.436,0.113
94,920,0.062,0.539,0.347,0.166,0.009,1.095,0.597,0.112
94,1020,0.094,0.409,0.368,0.17,0.016,1.082,0.502,0.116
94,1120,0.073,0.51,0.578,0.153,0.015,0.902,0.463,0.145
95,100,0.077,0.68,0.256,0.169,0.009,0.882,0.548,0.118
95,200,0.128,0.393,0.374,0.149,0.035,1.239,0.487,0.127
95,300,0.309,0.079,0.627,0.123,0.015,0.804,0.505,0.139
95,400,0.228,0.728,0.888,0.321,0.082,1.035,0.742,0.144
95,500,0.059,0.571,0.409,0.246,0.018,1.258,0.786,0.117
95,600,0.103,0.749,0.399,0.232,0.058,0.65,0.724,0.118
95,700,0.081,1.041,0.768,0.36,0.123,0.744,0.739,0.216
95,800,0.078,0.651,0.585,0.209,0.236,0.483,0.539,0.215
95,900,0.049,0.234,0.373,0.237,0.081,0.543,0.637,0.102
95,1000,0.118,1.044,0.427,0.285,0.065,0.592,0.896,0.099
95,1100,0.191,0.265,0.62,0.173,0.113,0.295,0.991,0.175
96,80,0.118,0.476,0.393,0.184,0.076,0.666,0.695,0.111
96,180,0.038,0.962,0.594,0.19,0.077,0.74,0.573,0.193
96,280,0.188,0.67,0.436,0.324,0.137,0.295,0.549,0.129
96,380,0.164,0.635,0.494,0.244,0.066,0.973,0.733,0.098
96,480,0.189,0.656,0.484,0.207,0.11,0.571,0.61,0.103
96,580,0.048,0.833,0.958,0.265,0.106,0.566,0.788,0.224
96,680,0.163,0.814,0.732,0.194,0.088,0.525,0.67,0.162
96,780,0.171,0.269,0.389,0.297,0.111,0.668,0.692,0.118
96,880,0.085,0.875,0.405,0.186,0.083,0.698,0.667,0.123
96,980,0.093,0.508,0.412,0.215,0.056,1.071,0.602,0.134
96,1080,0.105,0.393,0.432,0.191,0.23,0.72,0.663,0.101
97,60,0.134,0.336,0.354,0.22,0.082,0.525,0.804,0.117
97,160,0.156,0.492,0.394,0.211,0.128,0.602,0.9,0.124
97,260,0.184,0.997,0.54,0.213,0.134,0.515,0.631,0.127
97,360,0.127,1.691,0.402,0.541,0.131,0.684,1.543,0.107
97,460,0.057,0.929,0.487,0.227,0.077,0.499,0.65,0.113
97,560,0.116,0.722,0.53,0.218,0.098,0.38,0.705,0.107
97,660,0.114,0.392,0.656,0.342,0.029,0.908,0.91,0.202
97,760,0.158,0.201,0.418,0.225,0.07,0.843,0.601,0.121
97,860,0.208,0.596,0.704,0.159,0.234,0.728,0.484,0.531
97,960,0.112,0.5,0.468,0.158,0.103,0.431,0.623,0.117
97,1060,0.052,0.835,0.494,0.266,0.098,0.368,0.692,0.137
98,40,0.214,0.72,0.466,0.269,0.094,0.598,0.668,0.127
98,140,0.106,0.827,0.513,0.188,0.197,0.81,0.598,0.152
98,240,0.195,0.654,0.707,0.124,0.132,0.319,0.406,0.268
98,340,0.038,0.386,0.513,0.188,0.033,0.748,0.567,0.171
98,440,0.073,0.491,0.327,0.236,0.043,0.519,0.804,0.069
98,540,0.075,0.581,0.885,0.224,0.031,0.777,0.517,0.13
98,640,0.096,0.493,0.369,0.186,0.072,0.531,0.57,0.1
98,740,0.12,0.995,0.664,0.301,0.034,0.778,0.798,0.148
98,840,0.062,0.384,0.626,0.21,0.025,0.803,0.521,0.19
98,940,0.061,0.793,2.715,0.466,0.031,0.919,1.092,0.656
98,1040,0.093,1.215,0.395,0.361,0.016,0.631,0.651,0.197
99,20,0.068,0.762,0.412,0.271,0.201,0.199,0.724,0.148
99,120,0.202,0.319,0.558,0.24,0.057,0.814,0.731,0.175
99,220,0.217,0.387,0.78,0.304,0.159,0.426,0.533,0.186
99,320,0.057,0.6,0.556,0.144,0.183,1.076,0.492,0.155
99,420,0.18,0.408,0.515,0.196,0.065,0.491,0.603,0.175
99,520,0.175,0.5,0.469,0.197,0.063,0.776,0.595,0.141
99,620,0.276,0.349,0.352,0.221,0.055,0.7,0.476,0.1
99,720,0.218,0.864,0.502,0.219,0.102,0.392,0.558,0.166
99,820,0.059,0.35,0.408,0.126,0.082,0.434,0.435,0.091
99,920,0.176,0.258,0.333,0.185,0.019,0.341,0.603,0.103
99,1020,0.071,0.577,0.425,0.255,0.026,0.92,0.785,0.237
99,1120,0.128,0.386,0.591,0.179,0.052,0.607,0.628,0.133
100,100,0.101,0.765,0.453,0.182,0.042,0.78,0.554,0.138
100,200,0.234,0.339,0.426,0.245,0.023,0.682,0.763,0.135
100,300,0.092,0.422,0.385,0.159,0.041,0.665,0.483,0.122
100,400,0.198,0.345,0.368,0.194,0.083,0.495,0.643,0.109
100,500,0.049,0.823,0.635,0.157,0.054,0.51,0.529,0.141
100,600,0.124,0.518,0.877,0.382,0.095,0.743,0.713,0.212
100,700,0.073,0.733,0.275,0.311,0.083,1.437,0.5,0.095
100,800,0.028,0.825,0.377,0.175,0.1,0.409,0.601,0.132
100,900,0.222,0.229,0.832,0.285,0.146,1.741,0.862,0.343
100,1000,0.1,0.559,0.561,0.192,0.06,0.648,0.599,0.135
100,1100,0.07,0.707,0.376,0.175,0.015,0.716,0.628,0.12
101,80,0.074,0.65,0.688,0.181,0.07,0.487,0.546,0.261
101,180,0.064,0.815,0.364,0.293,0.013,0.683,0.681,0.111
101,280,0.104,0.243,0.665,0.143,0.143,0.174,0.475,0.156
101,380,0.086,0.472,0.451,0.199,0.035,1.112,0.687,0.119
101,480,0.057,0.772,0.835,0.201,0.061,0.548,0.546,0.197
101,580,0.068,0.9,0.304,0.181,0.05,1.028,0.519,0.088
101,680,0.121,0.512,0.513,0.161,0.332,0.065,0.535,0.24
101,780,0.211,0.291,0.85,0.251,0.024,0.843,0.519,0.227
101,880,0.095,0.514,0.621,0.103,0.073,0.476,0.412,0.137
101,980,0.062,0.412,0.363,0.203,0.062,1.231,0.674,0.112
101,1080,0.151,0.651,0.477,0.159,0.313,0.15,0.49,0.167
102,60,0.061,0.578,0.501,0.213,0.225,0.532,0.621,0.096
102,160,0.307,0.822,0.394,0.115,0.132,0.319,0.402,0.123
102,260,0.115,1.376,0.517,0.169,0.199,0.504,0.647,0.145
102,360,0.218,0.302,0.432,0.138,0.048,0.701,0.366,0.107
102,460,0.144,0.36,0.349,0.17,0.181,0.876,0.531,0.113
102,560,0.071,1.261,0.686,0.451,0.147,1.088,1.355,0.12
102,660,0.185,1.013,0.39,0.41,0.109,0.584,0.946,0.105
102,760,0.02,1.03,0.561,0.209,0.035,0.966,0.571,0.148
102,860,0.035,0.622,0.455,0.226,0.072,0.978,0.492,0.161
102,960,0.083,0.829,0.593,0.212,0.101,0.408,0.685,0.124
102,1060,0.035,0.699,0.724,0.335,0.062,1.079,0.988,0.2
103,40,0.023,0.631,0.46,0.282,0.024,0.532,0.673,0.256
103,140,0.075,0.796,0.425,0.281,0.037,1.112,0.851,0.113
103,240,0.064,0.956,0.789,0.277,0.147,0.894,0.685,0.276
103,340,0.08,0.654,0.367,0.16,0.056,1.195,0.432,0.082
103,440,0.072,0.711,0.637,0.265,0.061,0.524,0.669,0.081
103,540,0.056,1.016,0.361,0.154,0.049,0.778,0.411,0.114
103,640,0.073,0.923,0.57,0.227,0.06,0.971,0.61,0.16
